Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Actual,Predicted,Probability,Outcome
18,Travel_Rarely,812,Sales,10,3,Medical,1,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,No,12,3,1,80,0,0,2,3,0,0,0,0,0,1,0.8758922,False Positive
31,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,1,Male,62,2,2,Human Resources,1,Married,6410,17822,3,No,12,3,4,80,0,9,1,3,2,2,1,0,0,1,0.63177574,False Positive
41,Travel_Rarely,263,Research & Development,6,3,Medical,1,4,Male,59,3,1,Laboratory Technician,1,Single,4721,3119,2,Yes,13,3,3,80,0,20,3,3,18,13,2,17,0,1,0.5627192,False Positive
31,Travel_Frequently,444,Sales,5,3,Marketing,1,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3909,1,No,11,3,3,80,1,2,5,2,2,2,2,2,0,1,0.5453162,False Positive
31,Travel_Rarely,1276,Research & Development,2,1,Medical,1,4,Female,59,1,1,Laboratory Technician,4,Divorced,1129,17536,1,Yes,11,3,3,80,3,1,4,3,1,0,0,0,0,1,0.5423459,False Positive
32,Travel_Rarely,371,Sales,19,3,Life Sciences,1,4,Male,80,1,3,Sales Executive,3,Married,9610,3840,3,No,13,3,3,80,1,10,2,1,4,3,0,2,0,1,0.5334729,False Positive
22,Non-Travel,1123,Research & Development,16,2,Medical,1,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,80,2,1,2,2,1,0,0,0,0,1,0.50092614,False Positive
31,Non-Travel,335,Research & Development,9,2,Medical,1,3,Male,46,2,1,Research Scientist,1,Single,2321,10322,0,Yes,22,4,1,80,0,4,0,3,3,2,1,2,1,0,0.4539014,False Negative
36,Travel_Rarely,1456,Sales,13,5,Marketing,1,2,Male,96,2,2,Sales Executive,1,Divorced,6134,8658,5,Yes,13,3,2,80,3,16,3,3,2,2,2,2,1,0,0.37780246,False Negative
29,Travel_Rarely,341,Sales,1,3,Medical,1,2,Female,48,2,1,Sales Representative,3,Divorced,2800,23522,6,Yes,19,3,3,80,3,5,3,3,3,2,0,2,1,0,0.32083306,False Negative
25,Travel_Rarely,383,Sales,9,2,Life Sciences,1,1,Male,68,2,1,Sales Representative,1,Married,4400,15182,3,No,12,3,1,80,0,6,2,3,3,2,2,2,1,0,0.21077892,False Negative
30,Travel_Frequently,109,Research & Development,5,3,Medical,1,2,Female,60,3,1,Laboratory Technician,2,Single,2422,25725,0,No,17,3,1,80,0,4,3,3,3,2,1,2,1,0,0.20821518,False Negative
48,Travel_Frequently,708,Sales,7,2,Medical,1,4,Female,95,3,1,Sales Representative,3,Married,2655,11740,2,Yes,11,3,3,80,2,19,3,3,9,7,7,7,1,0,0.1969266,False Negative
50,Travel_Frequently,959,Sales,1,4,Other,1,4,Male,81,3,2,Sales Executive,3,Single,4728,17251,3,Yes,14,3,4,80,0,5,4,3,0,0,0,0,1,0,0.18534051,False Negative
44,Travel_Rarely,935,Research & Development,3,3,Life Sciences,1,1,Male,89,3,1,Laboratory Technician,1,Married,2362,14669,4,No,12,3,3,80,0,10,4,4,3,2,1,2,1,0,0.1828122,False Negative
41,Non-Travel,906,Research & Development,5,2,Life Sciences,1,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,6,No,17,3,1,80,1,5,2,1,1,0,0,0,1,0,0.15653822,False Negative
26,Travel_Rarely,920,Human Resources,20,2,Medical,1,4,Female,69,3,1,Human Resources,2,Married,2148,6889,0,Yes,11,3,3,80,0,6,3,3,5,1,1,4,1,0,0.13607882,False Negative
26,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,3,Male,73,3,1,Research Scientist,1,Single,3102,6582,0,No,22,4,3,80,0,7,2,3,6,4,0,4,1,0,0.13137062,False Negative
33,Travel_Rarely,527,Research & Development,1,4,Other,1,4,Male,63,3,1,Research Scientist,4,Single,2686,5207,1,Yes,13,3,3,80,0,10,2,2,10,9,7,8,1,0,0.12286175,False Negative
